0,1,2,3,4,5,6,7,8,9,10,11,12,file
-611.115,83.78525,1.6763701,18.688795,12.392499,0.4084346,-4.480601,-5.2435355,-16.191263,-4.686587,1.8869598,-4.8925915,3.5474973,data\processed_audio\Actor_01\03-01-01-01-01-01-01.wav
-577.10785,90.22401,-3.720526,24.782536,13.779715,-2.0322394,-3.1333537,-10.281488,-20.107613,-3.6091783,0.79653007,-5.549414,1.0903412,data\processed_audio\Actor_01\03-01-01-01-01-02-01.wav
-644.5495,73.21727,1.0367575,16.946074,8.056052,1.3092523,-1.2287762,-6.8650026,-11.643469,-4.6137495,2.1908011,-3.568047,3.7042637,data\processed_audio\Actor_01\03-01-01-01-02-01-01.wav
-547.5671,99.89847,2.9927778,23.039846,10.635319,2.771498,-3.7799332,-12.783354,-19.272963,-7.7235937,0.2847912,-4.5836306,-0.22254746,data\processed_audio\Actor_01\03-01-01-01-02-02-01.wav
-615.78564,96.97925,5.6591444,21.823345,13.29906,1.2388961,-4.9712377,-7.575715,-15.416759,-8.953789,1.7233719,-5.858065,0.96656877,data\processed_audio\Actor_01\03-01-02-01-01-01-01.wav
-580.88153,115.36204,3.9483676,18.837776,16.843315,1.3501729,-7.8145537,-8.546015,-14.425869,-8.641169,3.151184,-4.2194657,-0.25839087,data\processed_audio\Actor_01\03-01-02-01-01-02-01.wav
-593.3189,97.24078,2.232612,19.479172,9.7188,3.3767493,-1.5056019,-8.273672,-12.637568,-7.699149,3.408062,-3.2306695,2.4208446,data\processed_audio\Actor_01\03-01-02-01-02-01-01.wav
-603.0662,99.56497,1.4704455,17.861835,12.296634,1.1388992,-0.9637539,-10.202485,-11.556009,-7.7817626,1.8880767,-3.6262789,2.6355639,data\processed_audio\Actor_01\03-01-02-01-02-02-01.wav
-726.822,70.693924,12.358668,14.68414,15.936093,2.574183,1.8321174,-2.3285465,-1.7247736,-4.1258445,5.683365,0.28598693,2.8183658,data\processed_audio\Actor_01\03-01-02-02-01-01-01.wav
-586.5443,103.552444,0.44590297,17.834751,11.419503,0.49220362,-6.7196393,-9.676853,-11.846929,-7.855937,4.4922123,-2.3993459,-1.6390606,data\processed_audio\Actor_01\03-01-02-02-01-02-01.wav
-696.80133,66.99497,12.143753,11.121828,11.522023,5.35699,-0.29519755,-5.2524724,-4.6893396,-5.193292,5.0637455,1.1459562,2.953431,data\processed_audio\Actor_01\03-01-02-02-02-01-01.wav
-579.6812,93.93017,-3.759628,20.038538,10.580866,3.563199,-5.927587,-12.603127,-13.93974,-5.8228006,5.8392954,-1.6472055,-0.08145711,data\processed_audio\Actor_01\03-01-02-02-02-02-01.wav
-533.47864,100.70101,-7.9074707,19.44345,6.2855678,-5.2652297,-9.541437,-11.083026,-18.857069,-4.24343,-2.4375281,-11.292757,1.6447716,data\processed_audio\Actor_01\03-01-03-01-01-01-01.wav
-515.51917,103.84002,-10.4736805,25.225077,10.607528,-2.8397927,-11.10369,-8.115953,-22.817873,-2.3015816,0.101281665,-10.787974,5.3721085,data\processed_audio\Actor_01\03-01-03-01-01-02-01.wav
-544.62683,100.23825,-4.2264147,20.454744,2.660901,-0.5243278,-9.263792,-11.962904,-22.362564,-5.41337,3.983034,-11.249841,3.2762449,data\processed_audio\Actor_01\03-01-03-01-02-01-01.wav
-600.1213,70.974236,1.0395242,22.226988,3.7013168,-0.15473734,-2.757558,-8.492321,-16.39866,-5.0270867,1.3236971,-6.10375,3.809673,data\processed_audio\Actor_01\03-01-03-01-02-02-01.wav
-520.0012,68.403145,-9.454576,7.511206,-2.569373,-2.320522,-17.016762,-11.820921,-15.232785,-12.753387,-0.9757091,-9.813996,-2.3367114,data\processed_audio\Actor_01\03-01-03-02-01-01-01.wav
-518.72864,68.21874,-14.156627,7.0904355,3.0344691,-2.3766925,-13.7193,-9.177461,-17.93179,-9.347175,3.9861212,-9.698312,-1.868424,data\processed_audio\Actor_01\03-01-03-02-01-02-01.wav
-471.9954,59.694973,-12.544115,9.857775,-0.08742262,-2.5757105,-12.7860985,-11.313344,-22.046648,-5.9833465,0.11717255,-11.2289295,0.26680538,data\processed_audio\Actor_01\03-01-03-02-02-01-01.wav
-434.75464,74.728775,-13.488817,10.424403,-1.6562237,-4.9620647,-14.692263,-14.410678,-25.798931,-10.659129,-2.5890267,-10.462636,-0.33335054,data\processed_audio\Actor_01\03-01-03-02-02-02-01.wav
-618.82416,82.777405,-1.2603699,19.74193,10.561658,-3.3939455,-2.0284193,-11.2774,-13.568779,-5.5794616,-4.4796166,-1.8246024,0.03843184,data\processed_audio\Actor_01\03-01-04-01-01-01-01.wav
-652.6872,80.655754,1.0563416,20.27514,12.860753,-0.48812503,2.4246614,-9.301598,-10.713748,-6.775693,-0.27247208,-2.3489928,-0.53636795,data\processed_audio\Actor_01\03-01-04-01-01-02-01.wav
-730.79865,61.74465,2.530209,15.609548,11.905106,-0.15759207,3.134636,-6.214108,-6.649989,-2.6860428,2.8478255,-0.42457625,2.0393345,data\processed_audio\Actor_01\03-01-04-01-02-01-01.wav
